Name	Effect	CI.L	CI.R	AveExpr	P.Value	adj.P.Val
Myo inositol 6TMS; 1	-0.0163	-0.0194	-0.0131	-3.97e-16	2.42e-23	1.82e-21
Ribitol; 71	-0.0152	-0.0184	-0.012	2.09e-15	1.74e-20	6.52e-19
Creatinine; 50	-0.0151	-0.0183	-0.0119	5.88e-16	1.32e-19	3.3e-18
2,4-Dihydroxybutanoic acid; 28	-0.0147	-0.0179	-0.0115	5.76e-16	2.72e-19	5.1e-18
Ribonic acid; 72	-0.0136	-0.0167	-0.0104	-1.27e-15	1.38e-16	2.06e-15
3,4-Dihydroxybutanoic acid; 27	-0.0113	-0.0145	-0.00814	-1.03e-16	5.06e-12	6.32e-11
4-Deoxytetronic acid; 33	-0.0112	-0.0145	-0.00798	-1.16e-15	1.69e-11	1.66e-10
4-Hydroxybenzeneacetic acid; 42	-0.0111	-0.0144	-0.00792	-3.88e-16	1.77e-11	1.66e-10
Isoleucine, 2TMS; 18	0.00974	0.00649	0.013	-2.47e-15	4.82e-09	4.01e-08
4-Deoxytetronic acid; 32	-0.009	-0.0123	-0.00573	-1.02e-15	7.83e-08	5.87e-07
Pyroglutamic acid; 69	-0.00892	-0.0122	-0.00563	-7.23e-17	1.2e-07	8.16e-07
Citric acid, 4TMS; 6	-0.00879	-0.0121	-0.00553	2.8e-15	1.42e-07	8.89e-07
2-Hydroxybutyric acid, 2TMS; 22	0.00792	0.00468	0.0112	-1.91e-15	1.81e-06	1.05e-05
4-Hydroxyphenyllactic acid; 44	-0.0078	-0.0111	-0.00451	7.07e-16	3.56e-06	1.91e-05
Valine, 2TMS; 20	0.0076	0.00437	0.0108	-4.26e-15	4.28e-06	2.14e-05
3-Indoleacetic acid; 40	-0.00748	-0.0108	-0.0042	-1.61e-15	8.23e-06	3.86e-05
Hydroxyproline; 64	-0.00649	-0.00979	-0.00318	7.98e-16	0.000122	0.000517
Glyceryl-glycoside; 59	-0.00645	-0.00974	-0.00316	-4.85e-16	0.000124	0.000517
Leucine, 2TMS; 19	0.00625	0.00298	0.00952	1.61e-15	0.000187	0.000737
Serine, 3TMS; 14	0.00623	0.00293	0.00954	-4.13e-15	0.000224	0.000839
Glycine, 3TMS; 17	-0.0059	-0.00918	-0.00262	-4.62e-15	0.000429	0.00153
Fumaric acid, 2TMS; 9	-0.00583	-0.00913	-0.00252	1.49e-15	0.000556	0.0019
Eicosapentaenoic acid; 55	0.00513	0.00189	0.00837	1.74e-15	0.00193	0.00629
Stearic acid, TMS; 2	0.00499	0.00169	0.0083	-3.73e-15	0.00308	0.00954
Methionine, 2TMS; 16	0.00494	0.00166	0.00823	-5.7e-16	0.00318	0.00954
Malic acid, 3TMS; 11	-0.00429	-0.00759	-0.000985	1.69e-15	0.011	0.0316
