Name	Effect	CI.L	CI.R	AveExpr	P.Value	adj.P.Val
3,4-Dihydroxybutanoic acid; 27	0.0734	0.0334	0.113	-1.03e-16	0.000326	0.0245
4-Deoxytetronic acid; 32	0.0638	0.0229	0.105	-1.02e-15	0.00224	0.084
Campesterol; 49	-0.0555	-0.0961	-0.0149	-4.24e-16	0.00738	0.185
Octanoic acid; 68	-0.0517	-0.0929	-0.0104	-3.24e-15	0.0141	0.232
Ribonic acid; 72	0.0476	0.0078	0.0874	-1.27e-15	0.0191	0.232
Glyceric acid; 30	-0.0473	-0.088	-0.00666	2.87e-15	0.0226	0.232
Docosahexaenoic acid; 53	-0.046	-0.0867	-0.00527	-2.84e-16	0.0269	0.232
2-hydroxy Isovaleric acid; 38	-0.0456	-0.087	-0.00425	-3.4e-16	0.0307	0.232
Aminomalonic acid; 45	-0.0447	-0.0857	-0.00368	-2.07e-15	0.0327	0.232
2-Hydroxybutyric acid, 2TMS; 22	-0.0439	-0.0845	-0.00338	-1.91e-15	0.0338	0.232
Tyrosine; 75	-0.0447	-0.086	-0.00336	-3.36e-16	0.0341	0.232
Glutamic acid, 3TMS; 8	0.0418	0.00117	0.0824	-1.56e-15	0.0438	0.273
2,4-Dihydroxybutanoic acid; 28	0.0401	0.000466	0.0798	5.76e-16	0.0474	0.273
Arachidonic acid, TMS; 24	-0.0401	-0.0815	0.00138	1.11e-15	0.0581	0.311
3-Indolepropionic acid; 41	-0.0386	-0.0798	0.00263	-5.84e-16	0.0665	0.332
Tridecanoic acid; 74	-0.0377	-0.0791	0.00374	2.46e-15	0.0746	0.35
Ribitol; 71	0.0338	-0.00581	0.0735	2.09e-15	0.0943	0.411
Valine, 2TMS; 20	-0.034	-0.0744	0.00642	-4.26e-15	0.0992	0.411
Ethanolamine; 56	-0.0344	-0.0758	0.0071	-1.73e-15	0.104	0.411
Lactic acid; 29	-0.0334	-0.0747	0.00786	-2.79e-15	0.112	0.411
L-5-Oxoproline; 63	-0.0333	-0.0747	0.00813	-8.38e-16	0.115	0.411
1,3-Propanediol; 34	0.0303	-0.0112	0.0719	3.28e-16	0.152	0.506
Ribitol; 70	0.0299	-0.0114	0.0712	-1.42e-15	0.155	0.506
4-Hydroxybutanoic acid; 43	0.0283	-0.0132	0.0698	-2.64e-15	0.181	0.554
Hydroxyproline; 64	0.0279	-0.0134	0.0692	7.98e-16	0.185	0.554
Methionine, 2TMS; 16	-0.0271	-0.0682	0.0139	-5.7e-16	0.195	0.563
1-Dodecanol; 36	-0.027	-0.0686	0.0146	-6.95e-16	0.203	0.563
Heptadecanoic acid; 61	-0.0257	-0.0671	0.0158	4.88e-15	0.225	0.58
Proline, 2TMS; 21	0.0253	-0.0157	0.0663	-1.04e-15	0.227	0.58
Pyroglutamic acid; 69	-0.025	-0.0661	0.0162	-7.23e-17	0.234	0.58
alpha-Tocopherol; 26	-0.0234	-0.0641	0.0172	1.78e-15	0.259	0.58
Glycerol; 58	0.0232	-0.0185	0.0648	-2.46e-16	0.276	0.58
Arachidic acid; 46	-0.0229	-0.0643	0.0185	-4.13e-15	0.277	0.58
Creatinine; 50	0.022	-0.0183	0.0623	5.88e-16	0.284	0.58
Glyceryl-glycoside; 59	0.0224	-0.0187	0.0635	-4.85e-16	0.285	0.58
Heptadecanoic acid; 60	-0.0225	-0.064	0.0189	1.97e-15	0.287	0.58
4-Hydroxyphenyllactic acid; 44	-0.022	-0.0631	0.0191	7.07e-16	0.294	0.58
Myo inositol 6TMS; 1	0.0211	-0.0183	0.0606	-3.97e-16	0.294	0.58
Cholesterol, TMS; 23	-0.02	-0.0598	0.0199	-5.41e-17	0.325	0.625
Succinic acid, 2TMS; 7	-0.0202	-0.0616	0.0213	1.27e-15	0.34	0.637
Threonine, 3TMS; 12	-0.0189	-0.0604	0.0226	-1.68e-15	0.371	0.658
Linoleic acid, TMS; 4	-0.0186	-0.0599	0.0226	-2.65e-15	0.376	0.658
1-Monopalmitin; 37	0.0185	-0.0231	0.0602	3.75e-15	0.383	0.658
Glycine, 3TMS; 17	-0.0181	-0.0591	0.0229	-4.62e-15	0.386	0.658
Citric acid, 4TMS; 6	-0.0173	-0.0581	0.0234	2.8e-15	0.404	0.674
alpha-ketoglutaric acid, TMS MeOX; 15	0.0162	-0.0252	0.0577	1.01e-15	0.442	0.721
4-Deoxytetronic acid; 33	0.0154	-0.0252	0.056	-1.16e-15	0.458	0.73
4-Hydroxybenzeneacetic acid; 42	0.0137	-0.0267	0.0541	-3.88e-16	0.506	0.79
Decanoic acid; 52	0.0121	-0.0291	0.0532	1.87e-15	0.565	0.864
3-Indoleacetic acid; 40	0.0117	-0.0293	0.0527	-1.61e-15	0.577	0.865
Palmitic acid, TMS; 5	-0.0104	-0.0515	0.0307	-6.22e-15	0.619	0.906
Arabinopyranose; 51	0.00962	-0.0317	0.0509	1.11e-15	0.647	0.906
2-Palmitoylglycerol; 39	0.00917	-0.0323	0.0507	-9.81e-16	0.665	0.906
Malic acid, 3TMS; 11	0.00821	-0.0331	0.0495	1.69e-15	0.696	0.906
Nonadecanoic acid; 66	0.00809	-0.0333	0.0495	1.32e-15	0.702	0.906
Alanine, 2TMS; 25	-0.00804	-0.0493	0.0332	2.15e-15	0.703	0.906
Isoleucine, 2TMS; 18	0.00789	-0.0327	0.0485	-2.47e-15	0.703	0.906
Dodecanoic acid; 54	-0.00784	-0.049	0.0334	-1.82e-15	0.709	0.906
Benzeneacetic acid; 47	-0.00774	-0.049	0.0335	-5.91e-16	0.713	0.906
